Parameter,Category,Description,Comments,Extra Flash Consumption,GCODE Modifier,HTMPMOVE,HTMP1-1,MP2-1,MP2-2,HTMP1-0,OVEN,HTPRUSA,MP2-0,,
no_auto_assign_warning,warnings,Hides warnings about auto-assigned extra steppers,"Off, we like warnings",,,off,off,off,,off,,,,,
no_configuration_embedding_warning,warnings,Hides warnings about embedded configs,"Off, we like warnings",,,off,off,off,,off,,,,,
motherboard,motherboard,Motherboard identifier,,,,BOARD_BTT_OCTOPUS_PRO_V1_1,BOARD_BTT_OCTOPUS_PRO_V1_1,BOARD_BTT_SKR_V2_0_REV_B,,BOARD_BTT_OCTOPUS_V1_1 ,,,,,
serial_port,motherboard,Primary serial port for communication,Default is 1,,,1,1,1,,1,,,,,
baudrate,motherboard,Primary communication speed,"1M for touch, 115200 else",,M575 if enabled,1000000,1000000,1000000,,115200,,,,,
baud_rate_gcode,motherboard,Adds GCODE to change baudrate on fly,,,,on,on,on,,on,,,,,
serial_port_2,motherboard,Second serial communication (USB usually),off for unused,,,-1,-1,-1,,-1,,,,,
baudrate_2,motherboard,Second communication speed,,,,25000,25000,250000,,off,,,,,
serial_port_3,motherboard,Third serial (usually not present),off if unused,,,off,off,off,,off,,,,,
baudrate_3,motherboard,Third communcation speed,,,,off,off,off,,,,,,,
bluetooth,motherboard,Whether board has bluetooth,,,,off,off,off,,off,,,,,
custom_machine_name,motherboard,Displayed on screen,For status messages,,,"""JL HTMP MOVE""","""JL HTMP MOVE""","""JL MP2.1""",,"""JL HTMP1.0""",,,,,
machine_uuid,motherboard,Number unique to machine,"Mainly for vendors, we do not use",,,off,off,off,,off,,,,,
btt_motor_expansion,steppers,Enables the expansion board to be used with BTT boards,Must be explicitely off or on,,,on,on,on,,off,,,,,
x_driver_type,steppers,Driver chip,"Can add x2,x3",,,TMC2209,TMC2209,TMC2209,,TMC2209,,,,,
x2_driver_type,steppers,Driver chip,,,,TMC2209,TMC2209,off,,,,,,,
y_driver_type,steppers,Driver chip,"Can add y2,y3",,,TMC2209,TMC2209,TMC2209,,TMC2209,,,,,
y2_driver_type,steppers,Driver chip,,,,TMC2209,TMC2209,off,,,,,,,
z_driver_type,steppers,Driver chip,"Can add z2,z3",,,TMC2209,TMC2209,TMC2209,,TMC2209,,,,,
z2_driver_type,steppers,Driver chip,,,,TMC2209,TMC2209,TMC2209,,TMC2209,,,,,
z3_driver_type,steppers,Driver chip,,,,TMC2209,TMC2209,off,,,,,,,
e0_driver_type,steppers,Driver chip,,,,off,TMC2209,TMC2209,,TMC2209,,,,,
e1_driver_type,steppers,Driver chip,Disable if not used,,,off,TMC2209,TMC2209,,TMC2209,,,,,
e2_driver_type,steppers,Driver chip,Disable if not used,,,off,TMC2209,TMC2209,,TMC2209,,,,,
e3_driver_type,steppers,Driver chip,Disable if not used,,,off,off,TMC2209,,off,,,,,
x_enable_on,steppers,Inverting enable pin,,,,0,0,0,,0,,,,,
y_enable_on,steppers,Inverting enable pin,,,,0,0,0,,0,,,,,
z_enable_on,steppers,Inverting enable pin,,,,0,0,0,,0,,,,,
